cursor,author,mid,content,ctime,likes,score,final_watch,date
77120437948879,绪山まひろ,19553653,我有个想法，动物体内的细胞会不会是兽耳呢d(ŐдŐ๑),1530982477,9862,10,0,2018-07-07 16:54:37
77120437948879,彦Childe,14234925,阿拉阿拉，红茶都被吓翻了,1551787504,0,10,0,2019-03-05 12:05:04
77120437948879,汤七H,95106224,很好看，这部番让我学了更多的知识（快乐）提前声明，血小板是我老婆（嘿嘿嘿）,1551778149,0,10,看至第13话,2019-03-05 09:29:09
77120437948879,天生属二,97373176,全民向全龄向的都是良番,1551686039,1,10,看至Special,2019-03-04 07:53:59
77120437948879,_李泽言_,29799437,白哥超帅 好评泡面番,1551718491,0,10,看至Special,2019-03-04 16:54:51
77120437948879,鱼肉大老爷,5831942,太励志了哈哈哈有37兆的细胞都在为你拼命工作有什么资格消耗生命呢,1551712232,0,10,看至Special,2019-03-04 15:10:32
77120437948879,浮华若梦惜流年,16067047,喜欢喜欢,1551705253,0,10,看至第9话,2019-03-04 13:14:13
77120437948879,晴雨鸟,20277953,好看(｡･ω･｡)ﾉ,1551703842,0,10,看至Special,2019-03-04 12:50:42
77120437948879,顾晓生,47811266,每一次你毫不在意的小病，都有无数细胞为之奋斗，所以要好好照顾自己啊。,1551703343,0,10,看至Special,2019-03-04 12:42:23
77120437948879,俞斯年,19656707,白细胞和红细胞在一起吧,1551701040,0,10,看至Special,2019-03-04 12:04:00
77120437948879,叶映夕,50347314,有趣的科普番,1551685802,0,10,看至第2话,2019-03-04 07:50:02
77120437948879,葡萄兔51,249104074,很可爱的番，值得观看,1551673540,0,10,看至第13话,2019-03-04 04:25:40
77120437948879,r贱贱殿下,85326082,好棒,1551670131,0,10,看至Special,2019-03-04 03:28:51
77120437948879,htttkang,45325640,补分,1551623204,0,10,看至Special,2019-03-03 14:26:44
77120437948879,今昔兵荒,17043507,祝99,1551495019,0,8,看至Special,2019-03-02 02:50:19
77120437948879,mimiyla,13736637,超强的番,1551464629,0,10,看至Special,2019-03-01 18:23:49
77120437948879,羞涩的老头,185829336,真好看,1551438606,0,8,看至Special,2019-03-01 11:10:06
77120437948879,轻叹半世流年,12511346,老少皆宜的细胞啊~,1551422217,0,10,看至Special,2019-03-01 06:36:57
77120437948879,随身携带装逼神器,71806266,好看,1551409860,0,10,看至第13话,2019-03-01 03:11:00
77120437948879,胡桃夹子gzw,112446401,不只是常识和高中生物方面的受益，哪怕作为专门研究医学生，这部番依旧帮助很大，这样有益的动漫应该被大力推广。,1551325777,1,8,看至Special,2019-02-28 03:49:37
77098963052856,微尔清风,94767505,就科普来说，感觉很清楚也很不错,1551370482,0,10,看至Special,2019-02-28 16:14:42
77098963052856,地方发货过来,300597815,不错吧,1551362973,0,10,看至第1话,2019-02-28 14:09:33
77098963052856,wjwfive,294875,不知怎样形容…极品！,1551353088,0,10,看至幕后SP,2019-02-28 11:24:48
77098963052856,老霉的蜂蜜,62342311,血小板太可爱惹,1551338046,0,10,看至Special,2019-02-28 07:14:06
77098963052856,凌晨两点的十字路口,85743282,可爱哟，对学习免疫很有启蒙。,1551327416,0,10,看至第12话,2019-02-28 04:16:56
77098963052856,碧海神星,93645951,好看,1551273715,0,10,看至第3话,2019-02-27 13:21:55
77098963052856,君我已经成为,205073039,好番！,1551257421,0,10,看至Special,2019-02-27 08:50:21
77098963052856,来一杯咖啡,743822,题材新颖，复习好番。,1551245999,0,8,看至Special,2019-02-27 05:39:59
77098963052856,年号覆舟,24262526,我怎么就没有在他不是会员的时候看完他... ...,1551184170,0,8,看至第9话,2019-02-26 12:29:30
77098963052856,橘子皮泡冰水,273110313,认真严谨，幽默风趣，时常感动。,1551176660,0,10,看至Special,2019-02-26 10:24:20
77098963052856,Lg_Rack,21969298,m9(´∀｀)今日份的红细胞白细胞也依旧很甜呢！,1551159974,0,10,看至Special,2019-02-26 05:46:14
77098963052856,迪欧拉Cavendish,89327987,白细胞真帅，话说这个番主角团都没有姓名的吗!?,1551146450,0,8,看至第6话,2019-02-26 02:00:50
