username,star,time,content,img_url
弓长子午,5,2018-09-14 12:11:41,总感觉夏目友人帐是一部充满淡淡忧伤、满满温柔和一丝禅意的动画，从高中看到工作以后，夏目同学还是个高中生。,https://img3.doubanio.com/icon/u67162797-3.jpg
冰雪聪明shi,4,2018-10-01 12:50:34,"剧情特别散，不是绿川亲妈写的夏目真是没法看——
为了百合和剪纸强行加一星(･ω･ )",https://img3.doubanio.com/icon/u11344831-50.jpg
多仔,0,2018-10-01 18:20:07,当年搬着小板凳为防近视坐得老远 熬住一天只看一集的自己 一定想不到有一天在异乡的电影院里 一个人哭成傻逼,https://img3.doubanio.com/icon/u77587429-3.jpg
丢了的心,5,2019-02-20 13:49:48,对鬼怪故事的好奇，大约是日本人基因中源远流长的执念。而夏目故事，无疑是其中最温暖的那一种,https://img3.doubanio.com/icon/u44901258-4.jpg
堂本琥珀去霓虹,4,2018-10-02 23:20:30,节奏舒服，娘口三三有丝分裂可爱崩溃,https://img1.doubanio.com/icon/u3306004-117.jpg
文森Vincent,2,2019-03-07 17:40:10,实在还是不太适合院线观影，虽然剧场版的剧作保持住了TV版的中等单集水准，并且整个画风更为精致饱满，但作为一部情节上并不戏剧化、视觉上并不激进的治愈系动画，《夏目友人帐》仅是适合在工作疲惫之余看上一两集放松心情的作品。电影版将原本二十分钟即可圆满结束的故事，通过添加毫无趣味的支线的方式注水到一部电影的时长，导致观影体验愈发绵长疲惫，和TV版达到的目的及效果南辕北辙。★★,https://img3.doubanio.com/icon/u76028606-123.jpg
艮艮,4,2019-02-15 15:01:30,娘口三三分裂超级萌，夏目还是一如既往的温柔，中级还是那么搞笑。,https://img1.doubanio.com/icon/u191583109-8.jpg
似水流年,5,2019-03-07 09:12:33,夏目还是那个夏目，而我已不知青春是何物，不出所料的，在影院我羞耻的哭了，曾经被治愈过的那些青春。,https://img3.doubanio.com/icon/u142530230-4.jpg
Edward_lord,5,2018-10-02 12:09:26,还是那个夏目，还是那堆人，猫就更肥了！感动常在！,https://img3.doubanio.com/icon/u164044403-1.jpg
ly温迪201611,4,2019-03-07 09:43:32,很温暖，很治愈。,https://img3.doubanio.com/icon/u165209119-3.jpg
雨花石,4,2019-03-07 10:01:58,日本人对鬼怪的故事更加好奇  人与妖怪之间忙碌生活的夏目   带着忧伤 温暖和禅意的故事  治愈系 还是觉得寂寞 萌萌的 很搞笑,https://img3.doubanio.com/icon/u154871079-1.jpg
荼,5,2018-10-07 16:43:12,"好久没在电影院看哭了。

曲终，电影院灯光亮起，在场半数人都在哭。人的短暂一生，真的是有那么多不可结缘的相遇吗。一如既往的高质量剧本，高质量配乐和配音。妈蛋主题曲太好听了！五星推荐。意外电影院里成年人比较多。旁边坐了位叔叔。 娘口三三恶意卖萌啊！三团子太可爱了！",https://img3.doubanio.com/icon/u14649140-155.jpg
大头绿豆,2,2019-03-07 15:27:29,当前这个分数（8.7）是失真的。虽然我们看的是同一部电影，但TV版粉丝们的给分对象，是他们在过去那么多年里看过的那么多季那么多番，以及他们一起度过的那么多时光。而我的给分对象，不问往事前尘，就是这部电影本身。如果你像我一样，「夏目友人帐」完全是零基础，那么大概也会像我一样，在全片前四分之三那些有头没尾、七零八落的剧情面前，不停问号脸：「看样子导演每一段好像都有很多话要说，但这明明是电影，你怎么可能说得完呢？」加上画风平淡，人脸千篇一律（恕我无法感受到斑老师的萌），这样的体验无疑是令人沮丧的。直到最后，关于遗忘，关于陪伴，关于宿命的变迁，这些主题隐约聚拢的时候，才让我觉得，TV版、动漫版能令那么多人着迷，道理应该在这。,https://img3.doubanio.com/icon/u1000152-23.jpg
鱼头包饼,4,2019-03-07 10:10:52,多年前那种温柔又暖萌的感觉又回来了。,https://img3.doubanio.com/icon/u155684761-3.jpg
徐若风,4,2019-03-07 14:42:50,3.5  因为剧场版的时长，有弊有利。剧本结构出了蛮大问题，第一幕被拉得过长，个别支线无必要，导致观感很倦；但同时，故事的气质和意境是整个六季下来最好的那一类。,https://img3.doubanio.com/icon/u52623934-34.jpg
Reaper,5,2019-01-25 09:14:45,其实不管人还是妖怪，都是很寂寞的啊,https://img3.doubanio.com/icon/u27442548-20.jpg
薰衣草,4,2019-03-07 10:03:39,很萌 治愈系 温暖的夏目,https://img3.doubanio.com/icon/u172570175-4.jpg
